"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","VENDOR","LINK","Footprint","Datasheet"
"C1","1","10nF","","","","Mouser","https://eu.mouser.com/en/ProductDetail/YAGEO/CC0402KRX7R7BB103?qs=AgBp2OyFlx8cKvXdhdEm3Q%3D%3D&srsltid=AfmBOoq3tdF0cme3FyVm_ZAEeyMThV0cq4XN1ZLb5kKvmSXHEhhr3AIO","PCM_SparkFun-Capacitor:C_0402_1005Metric","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf"
"C2,C3","2","47pF","","","","Mouser","https://eu.mouser.com/en/ProductDetail/Murata-Electronics/GRM0335C1E470JA01D?qs=lsk7mV%2FgRRKAIqZiEhHwXQ%3D%3D&srsltid=AfmBOoolpuwrnX-qziXlEA-Nux6hL_5fQkdXGoYO1D3lE3AQ8QSeD9HK","PCM_SparkFun-Capacitor:C_0402_1005Metric","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf"
"C11","1","10uF","","","","LCSC","https://www.lcsc.com/product-detail/C710916.html?s_z=n_q_GRM188C80G106KE47D&spm=wm.fly.bg.0.xh&lcsc_vid=TgJcAgIAFFFeUFVVRgNdUVwCQAVaXl1UFFhcUFJTRQQxVlNeQlRcV11VQFlXXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slFhMKSjcJFAoLExdLNA4ACQEFAw4cFDs%2BIi8%2BMkkyMUxfVlE5NFNYUVJUR08GEwkK","PCM_SparkFun-Capacitor:C_0603_1608Metric","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf"
"C13,C14","2","0.1uF","","","","Mouser","https://eu.mouser.com/en/ProductDetail/YAGEO/CC0402KRX7R7BB104?qs=AgBp2OyFlx%252BSOyhfyS7hpw%3D%3D&srsltid=AfmBOop_xy3Fc8F5mU2NeKT0K3EMtiKfVLDKg6EX36DYS6M2BVhnat8m","PCM_SparkFun-Capacitor:C_0402_1005Metric","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf"
"D1","1","ESDALC6V1-1M2","","","","LCSC","https://www.lcsc.com/product-detail/C2649894.html?s_z=n_q_ESDALC6V1-1M2&spm=wm.fly.bg.2.xh&lcsc_vid=TgJcAgIAFFFeUFVVRgNdUVwCQAVaXl1UFFhcUFJTRQQxVlNeQlRcVlBSQVZfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVhZVVFXRk8GEwkK","Diode_SMD:D_SOD-882","https://assets.nexperia.com/documents/data-sheet/PESD5V0S1UL.pdf"
"D2,D3","2","CG0402MLC-05LG","","","","Mouser","https://eu.mouser.com/en/ProductDetail/Bourns/CG0402MLC-05LG?qs=m8myXnDJXpXKFnFgvLE1Zw%3D%3D&srsltid=AfmBOooXQcmdnei33vZHA5E1U3fgr46DUkzHseWcAWop6eF7bgr_qtcs","ESD_SMD:CG0402MLC-05LG",""
"D4","1","Green","","","","Mouser","https://eu.mouser.com/en/ProductDetail/LITEON/LTST-C191KGKT?qs=xSPZu9B1aMCRQ5ACasEYAg%3D%3D&srsltid=AfmBOoojGXtZF46iDSpcnLQASRNawzXjUnZWGcj-t-85vLNCdx2SCuTA","PCM_SparkFun-LED:LED_0603_1608Metric_Green","https://docs.broadcom.com/docs/AV02-0551EN"
"D5","1","Red","","","","Mouser","https://eu.mouser.com/en/ProductDetail/LITEON/LTST-C191KRKT?qs=sGAEpiMZZMvVL5Kk7ZYykb8QxutrK7%252BLYfxVrbrEw2E%3D","PCM_SparkFun-LED:LED_0603_1608Metric_Red","https://www.kingbrightusa.com/images/catalog/SPEC/APT1608SURCK.pdf"
"F1","1","0.5A","","","","Mouser","https://eu.mouser.com/en/ProductDetail/Bourns/MF-MSMF050-2?qs=t3shhpq1i1DZ7OBD5kLNoA%3D%3D&srsltid=AfmBOop7COMufImahxKmnvxmAFegqJ4AEjZ_XvWfa01lNl5xjUfGQqtG","PCM_SparkFun-Fuse:1812","https://www.bourns.com/docs/product-datasheets/mf-msmf.pdf"
"J1","1","USB_A","","","","Mouser","https://eu.mouser.com/en/ProductDetail/Molex/48037-1000?qs=naUSJSqnqcLCdinS3SemhA%3D%3D","Connector_USB:MOLEX_48037-1000",""
"J3,J4","2","Conn_01x05_Pin","","","","MicroOhm","https://microohm-eg.com/pin-header-2-54mm-1x40-pin-male-single-row-straight-short-header-strip/","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"L1,L2","2","30 Ohm","","","","LCSC","https://www.lcsc.com/product-detail/C275480.html?s_z=n_q_MPZ1005S300C&spm=wm.fly.bg.0.xh&lcsc_vid=TgJcAgIAFFFeUFVVRgNdUVwCQAVaXl1UFFhcUFJTRQQxVlNeQlRcVVJUR1ReVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slFhMKSjcJFAoLExdLNA4ACQEFAw4cFDs%2BIi8%2BMkkyMUxfVlE5NFNYUVJUR08GEwkK","PCM_SparkFun-Capacitor:C_0402_1005Metric","https://www.murata.com/en-global/products/productdata/8796740223006/ENFA0024.pdf"
"R1,R2","2","22","","","","Mouser","https://eu.mouser.com/en/ProductDetail/YAGEO/RC0402FR-0722RL?qs=V1yeUXFNrkkRg6zf08ADKQ%3D%3D&srsltid=AfmBOop8SW49TJcti6bcb7JYG0ZtApqFTaRHiXhv8UaSUVJM9EYc5cLk","PCM_SparkFun-Resistor:R_0402_1005Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf"
"R4,R5","2","330","","","","Mouser","https://eu.mouser.com/en/ProductDetail/YAGEO/RC0402JR-07330RL?qs=uM1JSSdPjODKnhKTI7Q4uA%3D%3D&srsltid=AfmBOopfn4HWJXXpMeBdo2JzNEdkSOH7BtD_71jQqdLKCFuW4Up3DEpC","PCM_SparkFun-Resistor:R_0402_1005Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf"
"R6,R7","2","1k","","","","Mouser","https://eu.mouser.com/en/ProductDetail/YAGEO/RT0402FRE071KL?qs=BXCcY9r%252B08AJmLKodK5LLA%3D%3D&srsltid=AfmBOorTNV6yOMkLy0yceN-bIsUX6-Hy7vW6m8lEciFj7UEOrYB_Eorh","PCM_SparkFun-Resistor:R_0402_1005Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf"
"S1","1","SSSS811101","","","","LCSC","https://www.lcsc.com/product-detail/C109335.html","ALPS_Library:SW_SSSS811101",""
"SW3","1","SW_MEC_5E","","","","Mouser","https://eu.mouser.com/en/ProductDetail/CK/PTS810SJK250SMTR-LFS?qs=Imq1NPwxi77Ow0tzRIznfA%3D%3D&srsltid=AfmBOorKhGRG7uFvdg2H0nIiJD6X6eRKQotECo2UJbwLEi6FRqmCeH1I","Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","https://www.apem.com/medias/download/MEC_switches_serie_MULTIMEC5E.pdf"
"U1","1","FT231XQ","","","","LCSC","https://www.lcsc.com/product-detail/C132159.html?s_z=n_q_FT231XQ-R%2520&spm=wm.fly.bg.0.xh&lcsc_vid=TgJcAgIAFFFeUFVVRgNdUVwCQAVaXl1UFFhcUFJTRQQxVlNeQlRcVFVUQ1VeVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slFhMKSjcJFAoLExdLNA4ACQEFAw4cFDs%2BIi8%2BMkkyMUxfVlE5NFNYUVJUR08GEwkK","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf"
"U2","1","NINA-B30x","","","","Mouser","https://www2.mouser.com/en/ProductDetail/u-blox/NINA-B306-01B?qs=HBWAp0VN4RjRrjBx%252B921jQ%3D%3D&srsltid=AfmBOoozFR822yXoHsUv7NDN1sAphogSUSnvd9bvzjMoSMV_BHbbmJ5w","U_Blox_Library:XCVR_NINA-B306-00B",""
