Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,115.97,-78.1,0,bottom
C2,0.1uF,C_0402_1005Metric,115.4,-79.4,0,bottom
C4,100uF,C_1206_3216Metric,92.1,-78.6,109.29,bottom
C6,1.0uF,C_0402_1005Metric,85.7,-69.4,180,bottom
C8,0.001uF,CKCL44_TDK,91.4375,-62.9375,90,bottom
C10,0.1uF,C_0402_1005Metric,99.25,-76.596318,90,bottom
C13,1.0uF,C_0402_1005Metric,98.25,-76.596318,90,bottom
C16,100uF,C_1206_3216Metric,95.1,-73.2,90,bottom
C17,0.1uF,C_0402_1005Metric,105,-70.846318,180,bottom
C19,1.0uF,C_0402_1005Metric,97.25,-74.596318,180,bottom
C20,1.0uF,C_0402_1005Metric,105,-71.846318,180,bottom
C21,1.0uF,C_0402_1005Metric,93.5,-68.596318,180,bottom
C22,0.001uF,CKCL44_TDK,97.3375,-62.9375,90,bottom
C23,0.01uF,C_0402_1005Metric,84.9,-62.4,0,bottom
C24,1.0uF,C_0402_1005Metric,105,-73.846318,0,bottom
C25,2.2uF,C_0402_1005Metric,81.7,-62.4,0,bottom
C26,0.1uF,C_0402_1005Metric,105,-72.846318,180,bottom
C27,2.2uF,C_0402_1005Metric,118.92,-63.7,0,bottom
C28,0.001uF,CKCL44_TDK,103.3375,-62.9375,90,bottom
C29,10uF,C_0603_1608Metric,81.4,-61.15,180,bottom
C30,1.0uF,C_0402_1005Metric,97.25,-73.096318,180,bottom
C31,10uF,C_0603_1608Metric,118.35,-62.45,180,bottom
C32,0.1uF,C_0402_1005Metric,97.25,-72.096318,0,bottom
C33,10uF,C_0603_1608Metric,97.82,-70.846318,0,bottom
C34,1.0uF,C_0402_1005Metric,108.9,-74.3,180,bottom
C35,1.0uF,C_0402_1005Metric,97.25,-69.596318,180,bottom
C36,0.001uF,CKCL44_TDK,109.3375,-62.9375,90,bottom
C38,0.001uF,CKCL44_TDK,115.2375,-62.9375,90,bottom
J1,microSD,CUI_MSD-1-A,82.729297,-82.589748,109.29,bottom
P1,S2B-PH-SM4-TB_LF__SN_,JST_S2B-PH-SM4-TB_LF__SN_,116.225,-69.2,-90,bottom
S1,SSSS811101,SW_SSSS811101,132.958422,-62.450448,-109.29,bottom
C3,1.0uF,C_0402_1005Metric,81.2,-70.1,-90,top
C5,2.2uF,C_0402_1005Metric,119.1,-72.45,90,top
C7,1.0uF,C_0402_1005Metric,81.8,-66,180,top
C9,2.2uF,C_0402_1005Metric,124.6,-70.45,90,top
C11,0.1uF,C_0402_1005Metric,93.5,-70.596318,180,top
C12,2.2uF,C_0402_1005Metric,81.8,-67,0,top
C14,1.0uF,C_0402_1005Metric,93.5,-71.596318,180,top
C15,2.2uF,C_0402_1005Metric,120.6,-68.45,90,top
C18,0.1uF,C_0402_1005Metric,93.5,-69.596318,180,top
C37,1.0nF,C_0402_1005Metric,109.75,-68,0,top
C39,18pF,C_0402_1005Metric,79.4,-79.15,-90,top
C40,18pF,C_0402_1005Metric,83.2,-88.6,90,top
C41,0.1uF,C_0402_1005Metric,104,-92.77,90,top
C42,10uF,C_0603_1608Metric,102.75,-92.2,90,top
C43,10uF,C_0603_1608Metric,96.1,-83.7,0,top
D1,TPD4E1B06DCKR,TVS_TPD4E1B06DCKR,90,-54.74,-90,top
D2,TPD4E1B06DCKR,TVS_TPD4E1B06DCKR,96,-54.74,-90,top
D3,TPD4E1B06DCKR,TVS_TPD4E1B06DCKR,102,-54.74,-90,top
D4,TPD4E1B06DCKR,TVS_TPD4E1B06DCKR,119.25,-56.5,180,top
D5,TPD4E1B06DCKR,TVS_TPD4E1B06DCKR,108,-54.74,-90,top
D6,TPD4E1B06DCKR,TVS_TPD4E1B06DCKR,114,-54.74,-90,top
D7,Blue,LED_0603_1608Metric_Blue,82.75,-79.8,0,top
H1,MountingHole_Pad,MountingHole_3.2mm_M3_Pad,80.75,-49.25,0,top
