Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",115.970000,-78.100000,0.000000,bottom
"C2","0.1uF","C_0402_1005Metric",115.400000,-79.400000,0.000000,bottom
"C4","100uF","C_1206_3216Metric",92.100000,-78.600000,109.290000,bottom
"C6","1.0uF","C_0402_1005Metric",85.700000,-69.400000,180.000000,bottom
"C8","0.001uF","CKCL44_TDK",91.437500,-62.937500,90.000000,bottom
"C10","0.1uF","C_0402_1005Metric",99.250000,-76.596318,90.000000,bottom
"C13","1.0uF","C_0402_1005Metric",98.250000,-76.596318,90.000000,bottom
"C16","100uF","C_1206_3216Metric",95.100000,-73.200000,90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",105.000000,-70.846318,180.000000,bottom
"C19","1.0uF","C_0402_1005Metric",97.250000,-74.596318,180.000000,bottom
"C20","1.0uF","C_0402_1005Metric",105.000000,-71.846318,180.000000,bottom
"C21","1.0uF","C_0402_1005Metric",93.500000,-68.596318,180.000000,bottom
"C22","0.001uF","CKCL44_TDK",97.337500,-62.937500,90.000000,bottom
"C23","0.01uF","C_0402_1005Metric",84.900000,-62.400000,0.000000,bottom
"C24","1.0uF","C_0402_1005Metric",105.000000,-73.846318,0.000000,bottom
"C25","2.2uF","C_0402_1005Metric",81.700000,-62.400000,0.000000,bottom
"C26","0.1uF","C_0402_1005Metric",105.000000,-72.846318,180.000000,bottom
"C27","2.2uF","C_0402_1005Metric",118.920000,-63.700000,0.000000,bottom
"C28","0.001uF","CKCL44_TDK",103.337500,-62.937500,90.000000,bottom
"C29","10uF","C_0603_1608Metric",81.400000,-61.150000,180.000000,bottom
"C30","1.0uF","C_0402_1005Metric",97.250000,-73.096318,180.000000,bottom
"C31","10uF","C_0603_1608Metric",118.350000,-62.450000,180.000000,bottom
"C32","0.1uF","C_0402_1005Metric",97.250000,-72.096318,0.000000,bottom
"C33","10uF","C_0603_1608Metric",97.820000,-70.846318,0.000000,bottom
"C34","1.0uF","C_0402_1005Metric",108.900000,-74.300000,180.000000,bottom
"C35","1.0uF","C_0402_1005Metric",97.250000,-69.596318,180.000000,bottom
"C36","0.001uF","CKCL44_TDK",109.337500,-62.937500,90.000000,bottom
"C38","0.001uF","CKCL44_TDK",115.237500,-62.937500,90.000000,bottom
"J1","microSD","CUI_MSD-1-A",82.729297,-82.589748,109.290000,bottom
"P1","S2B-PH-SM4-TB_LF__SN_","JST_S2B-PH-SM4-TB_LF__SN_",116.225000,-69.200000,-90.000000,bottom
"S1","SSSS811101","SW_SSSS811101",132.958422,-62.450448,-109.290000,bottom
