Ref,Val,Package,PosX,PosY,Rot,Side
"C3","1.0uF","C_0402_1005Metric",81.200000,-70.100000,-90.000000,top
"C5","2.2uF","C_0402_1005Metric",119.100000,-72.450000,90.000000,top
"C7","1.0uF","C_0402_1005Metric",81.800000,-66.000000,180.000000,top
"C9","2.2uF","C_0402_1005Metric",124.600000,-70.450000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",93.500000,-70.596318,180.000000,top
"C12","2.2uF","C_0402_1005Metric",81.800000,-67.000000,0.000000,top
"C14","1.0uF","C_0402_1005Metric",93.500000,-71.596318,180.000000,top
"C15","2.2uF","C_0402_1005Metric",120.600000,-68.450000,90.000000,top
"C18","0.1uF","C_0402_1005Metric",93.500000,-69.596318,180.000000,top
"C37","1.0nF","C_0402_1005Metric",109.750000,-68.000000,0.000000,top
"C39","18pF","C_0402_1005Metric",79.400000,-79.150000,-90.000000,top
"C40","18pF","C_0402_1005Metric",83.200000,-88.600000,90.000000,top
"C41","0.1uF","C_0402_1005Metric",104.000000,-92.770000,90.000000,top
"C42","10uF","C_0603_1608Metric",102.750000,-92.200000,90.000000,top
"C43","10uF","C_0603_1608Metric",96.100000,-83.700000,0.000000,top
"D1","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",90.000000,-54.740000,-90.000000,top
"D2","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",96.000000,-54.740000,-90.000000,top
"D3","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",102.000000,-54.740000,-90.000000,top
"D4","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",119.250000,-56.500000,180.000000,top
"D5","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",108.000000,-54.740000,-90.000000,top
"D6","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",114.000000,-54.740000,-90.000000,top
"D7","Blue","LED_0603_1608Metric_Blue",82.750000,-79.800000,0.000000,top
"H1","MountingHole_Pad","MountingHole_3.2mm_M3_Pad",80.750000,-49.250000,0.000000,top
"H2","MountingHole_Pad","MountingHole_3.2mm_M3_Pad",121.750000,-49.250000,0.000000,top
"H3","MountingHole_Pad","MountingHole_3.2mm_M3_Pad",82.750000,-95.250000,0.000000,top
"H4","MountingHole_Pad","MountingHole_3.2mm_M3_Pad",119.750000,-95.250000,0.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",71.541368,-67.403899,19.290000,top
"J3","Conn_02x13_Odd_Even","PinHeader_2x13_P2.54mm_Horizontal",86.010000,-50.740000,90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",100.210000,-96.400000,-90.000000,top
"J5","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",72.363191,-56.209096,19.290000,top
"J6","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",114.000000,-75.200000,-90.000000,top
"J7","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",131.036599,-68.155646,-19.290000,top
"J8","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",126.358422,-81.155646,-19.290000,top
"R1","1M","R_0402_1005Metric",110.000000,-69.250000,180.000000,top
"R2","1K","R_0402_1005Metric",80.700000,-78.900000,-90.000000,top
"R3","470K","R_0402_1005Metric",92.250000,-91.750000,90.000000,top
"R4","470K","R_0402_1005Metric",83.200000,-77.700000,180.000000,top
"RN1","CAY16-2201F4LF","RESCAF80P320X160X60-8N",90.050000,-58.865000,-90.000000,top
"RN2","CAY16-2201F4LF","RESCAF80P320X160X60-8N",96.050000,-58.865000,-90.000000,top
"RN3","CAY16-2201F4LF","RESCAF80P320X160X60-8N",102.050000,-58.865000,-90.000000,top
"RN4","CAY16-2201F4LF","RESCAF80P320X160X60-8N",108.050000,-58.865000,-90.000000,top
"RN5","CAY16-2201F4LF","RESCAF80P320X160X60-8N",114.050000,-58.865000,-90.000000,top
"SW1","SW_MEC_5E","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",118.250000,-81.500000,90.000000,top
"SW2","SW_MEC_5E","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",84.500000,-74.300000,90.000000,top
"SW3","SW_MEC_5E","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",96.250000,-90.750000,0.000000,top
"U1","SN74LVC1G32DCKR","SOT65P210X110-5N",107.900000,-79.100000,180.000000,top
"U2","TPS60403DBV","SOT-23-5",83.900000,-69.400000,0.000000,top
"U3","CDBU0130L","CDBU",118.100000,-70.200000,180.000000,top
"U4","LIS3DH","ST_LGA-16_3x3mm_P0.5mm_5x3",112.400000,-79.100000,-90.000000,top
"U5","LP5907MFX-3.3","SOT23-5",121.850000,-70.950000,0.000000,top
"U6","TPS72325DBVR","SOT-23-5",83.400000,-63.400000,90.000000,top
"U7","TLV70025_SOT23-5","SOT-23-5",120.600000,-65.450000,90.000000,top
"U8","ADS1299","TQFP-64_10x10mm_P0.5mm",101.250000,-72.346318,-90.000000,top
"U9","NINA-B30x","XCVR_NINA-B306-00B",109.750000,-90.525000,0.000000,top
"U10","PIC32MX250F128B-I_SS","SOP65P780X200-28N",88.750000,-82.000000,0.000000,top
"Y1","ABMM2-8.000MHZ-E2-T","XTAL_ABMM2-8.000MHZ-E2-T",81.400000,-84.200000,0.000000,top
